ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000114650	SCAP	3	47455203	47518616	-1	protein_coding	22937	SCAP	0.0225547504834219	NA	2	3.613	0	NA	NA	NA	NA	2.28360990249e-06	rs6765990	2
ENSG00000163832	ELP6	3	47537130	47555251	-1	protein_coding	54859	ELP6	0.00350789886566748	-0.229447083	1	2.746	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000173473	SMARCC1	3	47626762	47823596	-1	protein_coding	6599	SMARCC1	0.999999593393603	-1.102862391	2	3.412	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000047849	MAP4	3	47892182	48130769	-1	protein_coding	4134	MAP4	0.99884872439436	-0.836308624	3	13.42	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000229453	SPINK8	3	48348336	48369831	-1	protein_coding	646424	SPINK8	0.00112128585214279	-0.205479315	1	0.084	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000172020	GAP43	3	115342171	115440337	1	protein_coding	2596	GAP43	0.0123799221019638	-0.227888971	3	8.406	0	NA	NA	NA	NA	5.12312794446e-07	rs13324198	3
ENSG00000164114	MAP9	4	156263810	156298122	-1	protein_coding	79884	MAP9	5.17494979120361e-12	1.041032533	1	2.061	0	NA	NA	NA	NA	NA	rs28734064	4
ENSG00000061918	GUCY1B3	4	156680144	156728743	1	protein_coding	2983	GUCY1B3	0.000916633852893547	-0.241661798	1	0.914	0	NA	NA	NA	NA	5.31554716524e-07	rs28734064	4
ENSG00000256043	CTSO	4	156845270	156875069	-1	protein_coding	1519	CTSO	6.3496157062382e-06	0.265493816	1	4.617	0	NA	NA	NA	NA	NA	rs28734064	4
ENSG00000172197	MBOAT1	6	20100935	20212670	-1	protein_coding	154141	MBOAT1	8.84450886798244e-07	0.739537584	1	0.085	0	NA	NA	NA	NA	NA	rs115632536	5
ENSG00000145996	CDKAL1	6	20534688	21232635	1	protein_coding	54901	CDKAL1	0.577650480843115	0.904338397	12	6.199	0	NA	NA	NA	NA	4.82357292269e-07	rs115632536	5
ENSG00000107249	GLIS3	9	3824127	4348392	-1	protein_coding	169792	GLIS3	0.000100596771327456	-0.548104382	2	3.17	0	NA	NA	NA	NA	8.60579268905e-06	rs78993812;rs79210712	6
ENSG00000153707	PTPRD	9	8314246	10612723	-1	protein_coding	5789	PTPRD	0.999999982037603	-0.573833783	66	18.35	0	NA	NA	NA	NA	1.92482884492e-06	rs4008230	7
ENSG00000177685	EFCAB4A	11	826144	831991	1	protein_coding	283229	EFCAB4A	0.00185893565695636	0.620830492	0	0	3	1.4099e-06	0.00425025916214403	eQTLGen_cis_eQTLs	NA	5.34118273652e-07	rs541928095;rs148815783	9
ENSG00000177697	CD151	11	832843	839831	1	protein_coding	977	CD151	0.00164311219240346	NA	0	0	1	1.4853e-06	0.00446706075933939	eQTLGen_cis_eQTLs	NA	8.14676076497e-06	rs148815783	9
ENSG00000183020	AP2A2	11	924894	1012239	1	protein_coding	101927462	AP2A2	0.999932214597942	0.093705322	4	10.24	2	3.3396e-07	0.00108446427464832	eQTLGen_cis_eQTLs	NA	2.78978074025e-07	rs541928095;rs78721871;rs148815783	9
ENSG00000184956	MUC6	11	1012821	1036706	-1	protein_coding	4588	MUC6	1.08683766450872e-32	-0.434610247	3	2.44	0	NA	NA	NA	NA	5.34118273652e-07	rs148815783;rs541928095	9
ENSG00000151812	SLC35F4	14	58030640	58448912	-1	protein_coding	341880	SLC35F4	0.00969257412732057	NA	38	14.33	0	NA	NA	NA	NA	3.34416046371e-06	rs2348075	10
ENSG00000141384	TAF4B	18	23805900	23971649	1	protein_coding	6875	TAF4B	0.879312141538273	0.161808075	1	2.014	0	NA	NA	NA	NA	NA	rs1652343	11
ENSG00000025772	TOMM34	20	43570771	43589127	-1	protein_coding	10953	TOMM34	0.721089132713427	-0.034841256	0	0	7	5.2448e-10	0	eQTLGen_cis_eQTLs	NA	8.95688947678e-06	rs16988687	12
ENSG00000204070	SYS1	20	43990577	44005438	1	protein_coding	90196	SYS1	0.474140969012541	0.39508288	0	0	7	1.1927e-15	0	eQTLGen_cis_eQTLs	NA	8.95688947678e-06	rs16988687	12
ENSG00000124155	PIGT	20	44044717	44054884	1	protein_coding	51604	PIGT	4.65840286191537e-12	-0.451378548	1	2.465	6	4.4859e-09	3.2368744740079e-05	eQTLGen_cis_eQTLs	NA	8.95688947678e-06	rs16988687	12
ENSG00000269549	AL031663.2	20	44074071	44077220	1	protein_coding	NA	NA	NA	NA	7	10.82	4	5.8928e-06	0.0167945336849676	eQTLGen_cis_eQTLs	NA	8.95688947678e-06	rs16988687	12
ENSG00000101457	DNTTIP1	20	44420576	44440066	1	protein_coding	116092	DNTTIP1	0.431436687799906	-0.603615338	0	0	5	6.5755e-08	0.000277602523659306	eQTLGen_cis_eQTLs	NA	NA	rs16988687	12
ENSG00000182463	TSHZ2	20	51588946	52111869	1	protein_coding	128553	TSHZ2	0.406843773399705	-2.768866533	2	4.146	0	NA	NA	NA	NA	NA	rs6068263	13
ENSG00000064787	BCAS1	20	52553316	52687304	-1	protein_coding	8537	BCAS1	0.0136569957373472	2.793843438	1	3.608	0	NA	NA	NA	NA	3.42359014219e-06	rs6068263	13
ENSG00000019186	CYP24A1	20	52769988	52790512	-1	protein_coding	1591	CYP24A1	3.24300393313511e-10	1.285205697	1	0.034	0	NA	NA	NA	NA	NA	rs6068263	13
ENSG00000101134	DOK5	20	53092136	53267710	1	protein_coding	55816	DOK5	0.0439811915489279	0.830165672	4	5.575	0	NA	NA	NA	NA	NA	rs6068263	13
